Date of Service,System Address,System Capacity kW-DC,meta_row_index,meta_row_id,Georeference System Address
12/23/2016 12:00:00 AM,309 URBAN PRAIRIE ST,5.6,698,aa86c9080afc54a27672845330ad1cd43d8b248c,
01/13/2017 12:00:00 AM,321 GREEN LEAF ST,9.3,713,213f8c5d110c325939ccbd789b2bb7999843e15e,
07/20/2017 12:00:00 AM,314 URBAN PRAIRIE ST,9.2,856,f846a1663e34071f254150b036422b31b90a8845,
12/21/2017 12:00:00 AM,703 HARTS GARDENS LN,6.5,960,97e791559a53897628881973dd5bbcd2704cb89a,
01/25/2018 12:00:00 AM,313 SATURN DR,3.4,998,b764c815495617ac39deabba7a3d7bf863f21f5e,
03/02/2018 12:00:00 AM,309 GREEN LEAF ST,8.8,1027,981127707cfc0c1907584435869990f2113d3842,
10/26/2018 12:00:00 AM,415 STOUT ST,4.3,1214,f0660f757ec3c8f202724be972e543c4ab569a1f,
10/20/2016 12:00:00 AM,425 LARKBUNTING DR,2.3,645,fe1faf704bf85f73658a8a916571f08b3f6408be,"425 LARKBUNTING DR
Fort Collins, Colorado
(40.526236, -105.084402)"
09/19/2017 12:00:00 AM,7109 WOODROW DR,9.9,892,ca59d162fd7dfa682d9c367f1a744fe3f9666afa,"7109 WOODROW DR
Fort Collins, Colorado
(40.487292, -105.083156)"
09/08/2010 12:00:00 AM,4838 PRAIRIE VISTA DR,3.1,69,6b8ae0d2968aca2e30e414c245048741422814a7,"4838 PRAIRIE VISTA DR
Fort Collins, Colorado
(40.521869, -105.110732)"
01/08/2019 12:00:00 AM,3043 WELLS FARGO DR,3,1322,9c394b34c1b4059a7cdb45a74a122ec26cde0582,"3043 WELLS FARGO DR
Fort Collins, Colorado
(40.570006, -105.133394)"
03/16/2018 12:00:00 AM,2245 BAR HARBOR DR,5.1,1036,732da72be8c8876160e0e65b39f4419fdfb47301,"2245 BAR HARBOR DR
Fort Collins, Colorado
(40.618783, -105.033941)"
05/22/2017 12:00:00 AM,7306 STREAMSIDE DR,4.7,809,5cdb94d5b176cd8d46dd62645d4e1aa9db85e862,"7306 STREAMSIDE DR
Fort Collins, Colorado
(40.483936, -105.05189)"
01/23/2019 12:00:00 AM,2055 PHIA WAY,3.1,1337,7501de7a8e08fe48c1ef637eb38ca8cda2e9fdcd,
09/01/2016 12:00:00 AM,706 MCGRAW DR,4.4,629,4bfa47b0912b59b1762e3cb999ca1dad3981ded2,"706 MCGRAW DR
Fort Collins, Colorado
(40.520378, -105.088475)"
02/27/2018 12:00:00 AM,822 LAPORTE AVE,4.4,1024,f1daf6eefe003e083f2bc3836196a8d5baf1d0ef,"822 LAPORTE AVE
Fort Collins, Colorado
(40.589031, -105.090746)"
04/14/2015 12:00:00 AM,140 N BRYAN AVE,2.6,365,8179b7f26041a83076e772e41d30b765f8b6afd3,"140 N BRYAN AVE
Fort Collins, Colorado
(40.588713, -105.106919)"
03/14/2019 12:00:00 AM,5421 QUASAR WAY,8.6,1369,0c9010982d6228d25e9dac6c39405d87ec151903,"5421 QUASAR WAY
Fort Collins, Colorado
(40.510876, -105.009919)"
05/24/2019 12:00:00 AM,1941 PHIA WAY,3.2,1426,95eaeae29bcc2fdae53e3471ee0ede523340fab4,
07/12/2012 12:00:00 AM,1506 RED SKY CT,12.2,138,3c35680ace9be376b0b70c11e424f550a4f15f00,"1506 RED SKY CT
Fort Collins, Colorado
(40.481617, -105.050297)"
10/04/2018 12:00:00 AM,2207 SMALLWOOD DR,3.9,1190,c041f06f0f4062e542c1ecfc3a38522532bbc771,"2207 SMALLWOOD DR
Fort Collins, Colorado
(40.516664, -105.036671)"
08/29/2018 12:00:00 AM,608 WHEDBEE ST,6.4,1168,406a7f54752dbacf561f68c0bd291f2b908e7bec,"608 WHEDBEE ST
Fort Collins, Colorado
(40.579729, -105.070144)"
03/23/2017 12:00:00 AM,701 FRONTIER CT,13.5,760,a7a15582149bd6c1f2613f1712c605dce6b8a5e1,"701 FRONTIER CT
Fort Collins, Colorado
(40.546674, -105.089259)"
07/13/2011 12:00:00 AM,1801 ROSEN DR,6.1,101,5096703a11672e5f13cb9e5a814c3680efeae439,"1801 ROSEN DR
Fort Collins, Colorado
(40.501818, -105.043639)"
12/10/2015 12:00:00 AM,1331 HEARTHFIRE CT,7,479,a17a8d5dd2edc16c170994a8ce0f9c26ecfda7b5,"1331 HEARTHFIRE CT
Fort Collins, Colorado
(40.631243, -105.052633)"
06/14/2018 12:00:00 AM,2027 BLUE YONDER WAY,6.8,1105,7e1e87230b942ea2207b2f7f2206121a43d072b6,"2027 BLUE YONDER WAY
Fort Collins, Colorado
(40.560811, -105.034782)"
01/26/2015 12:00:00 AM,600 BUCKINGHAM ST,96,347,b80f1b5b942f7d1a1ff3f14b9bbcff3ff917ab9b,"600 BUCKINGHAM ST
Fort Collins, Colorado
(40.592443, -105.066328)"
11/06/2018 12:00:00 AM,3127 ANIKA DR,8.3,1237,5fe4314e15bf69e356549fc2f3752d2d27f4f4cb,"3127 ANIKA DR
Fort Collins, Colorado
(40.544336, -105.022168)"
07/10/2017 12:00:00 AM,1648 DOGWOOD CT,3.6,846,47b2e7dd2f20f6eedbabaa90da5101da56e0a8c0,"1648 DOGWOOD CT
Fort Collins, Colorado
(40.55877, -105.045103)"
10/13/2017 12:00:00 AM,4231 STARFLOWER DR,5.3,909,4f66fec3c576a55de3328d0091f53da93c5857f1,"4231 STARFLOWER DR
Fort Collins, Colorado
(40.528457, -105.090134)"
11/24/2014 12:00:00 AM,1306 MONTEREY DR,7,333,ac247b2f2b047994303556fc7dfd56cf6a9f241a,"1306 MONTEREY DR
Fort Collins, Colorado
(40.605107, -105.058426)"
09/01/2016 12:00:00 AM,3303 LIPPIZAN CT,4.2,628,301af769e20e29e365bc45481af4ddd4981382c3,"3303 LIPPIZAN CT
Fort Collins, Colorado
(40.54211, -105.02415)"
03/08/2018 12:00:00 AM,1128 LAKE PL E,4.5,1031,09bdb39e9b4d859953bcff397d2feb9f472c5847,"1128 LAKE PL E
Fort Collins, Colorado
(40.568697, -105.058454)"
02/19/2014 12:00:00 AM,5327 FOSSIL RIDGE DR,3.9,249,c3ecfb64e56b5c7df7217e242dc91cf379983a97,"5327 FOSSIL RIDGE DR
Fort Collins, Colorado
(40.511568, -105.07449)"
09/20/2017 12:00:00 AM,2132 SAISON ST,4.8,893,0bdf66b84581d10ced8463dd6bc20061b1fa9c5c,"2132 SAISON ST
Fort Collins, Colorado
(40.591639, -105.037939)"
12/31/2018 12:00:00 AM,2303 SPRUCE CREEK DR,9,1315,52bd209d7f80bffdab61532646b56b611a2edc7e,"2303 SPRUCE CREEK DR
Fort Collins, Colorado
(40.504419, -105.035407)"
03/29/2016 12:00:00 AM,1302 SUNFLOWER DR,3.1,518,708626b986ea195749f197cfb20bf67b08adb230,"1302 SUNFLOWER DR
Fort Collins, Colorado
(40.572291, -105.140742)"
05/21/2018 12:00:00 AM,1407 TICONDEROGA DR,3.4,1083,ef5e24bb62283d4c8228f53119c34de62ebd5e16,"1407 TICONDEROGA DR
Fort Collins, Colorado
(40.530347, -105.051766)"
12/27/2017 12:00:00 AM,3738 COSMOS LN,3.3,962,5cd88548b30fd40a9934fead551389ad3dae7b33,"3738 COSMOS LN
Fort Collins, Colorado
(40.509411, -105.006982)"
12/03/2015 12:00:00 AM,307 LEEWARD CT,8,468,693f8cbce5e9f28b01b151ebd43cad62c8a08a65,"307 LEEWARD CT
Fort Collins, Colorado
(40.535893, -105.071555)"
12/02/2013 12:00:00 AM,4612 S MASON ST,10.5,234,5b4af158a20ba311114f518fe05d937b1df1ea60,"4612 S MASON ST
Fort Collins, Colorado
(40.522543, -105.078678)"
11/30/2017 12:00:00 AM,545 WALHALLA CT,4.2,941,3dc5094db4fa9a709b91b6df889b3d798ac4da10,"545 WALHALLA CT
Fort Collins, Colorado
(40.594506, -105.041451)"
12/15/1999 12:00:00 AM,4418 GOSHAWK DR,1,0,d57778a3977b6dd09fb9b0fef81bb1eb21ae5320,"4418 GOSHAWK DR
Fort Collins, Colorado
(40.526004, -105.086124)"
09/14/2018 12:00:00 AM,600 ZUNI CIR,4.6,1179,19e48ce0790359e1137fe239eeb75fa01274a5e9,"600 ZUNI CIR
Fort Collins, Colorado
(40.543814, -105.087986)"
04/19/2017 12:00:00 AM,2226 SHERWOOD FOREST CT,3.4,777,756410e2c532708063f38c2c1fe8df1b687003ea,"2226 SHERWOOD FOREST CT
Fort Collins, Colorado
(40.612735, -105.035491)"
05/20/2016 12:00:00 AM,1721 PRAIRIE HILL DR,7,555,bfcd7fdc1d9d5d3170c2c03cf77179a39738d480,"1721 PRAIRIE HILL DR
Fort Collins, Colorado
(40.500018, -105.046215)"
11/21/2016 12:00:00 AM,2931 VIRGINIA DALE DR,5.4,666,cad1cc1bb8eeb2765d80f18c0ca3e08104887ac0,"2931 VIRGINIA DALE DR
Fort Collins, Colorado
(40.570611, -105.131129)"
12/20/2018 12:00:00 AM,3106 SILVERWOOD DR,5.1,1295,4fd8f97313986bbaa3ec3c9c5fa27ed4d5289d4c,"3106 SILVERWOOD DR
Fort Collins, Colorado
(40.545039, -105.051389)"
03/30/2011 12:00:00 AM,1900 WALLENBERG DR,3,88,30839d86d646def23da6fbcdb9b3178d70bd0bb0,"1900 WALLENBERG DR
Fort Collins, Colorado
(40.563512, -105.090116)"
06/20/2018 12:00:00 AM,330 CIRCLE DR,4,1110,cf681990df81b1532dfae4bea9ba6db2ebf88881,"330 CIRCLE DR
Fort Collins, Colorado
(40.568722, -105.067924)"
12/21/2015 12:00:00 AM,239 URBAN PRAIRIE ST,8.3,481,9cbfb70a155158c41a26c89b0d8beb83267bec9b,"239 URBAN PRAIRIE ST
Fort Collins, Colorado
(40.609698, -105.079889)"
03/17/2015 12:00:00 AM,2150 NANCY GRAY AVE,5.5,352,53ea4c5215e64d1bc23fe4f8eaf6860db0d5edcc,"2150 NANCY GRAY AVE
Fort Collins, Colorado
(40.558079, -105.036878)"
10/19/2018 12:00:00 AM,3615 BIG DIPPER DR,5,1200,678bc42061cdc08c1bb8e67c68161ff640b19334,"3615 BIG DIPPER DR
Fort Collins, Colorado
(40.51225, -105.009702)"
07/02/2015 12:00:00 AM,3327 LONG CREEK DR,8.5,408,401cdf345e2069f65b400c813afa685a022aed6a,"3327 LONG CREEK DR
Fort Collins, Colorado
(40.508346, -105.014431)"
